Episode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155

AgentId1.hitsTaken,2,0,3,3,1,1,3,3,3,0,0,3,3,3,1,0,3,3,3,1,3,1,4,3,2,3,3,2,6,0,3,3,1,3,3,3,3,3,0,3,3,3,3,3,3,3,3,2,3,3,4,5,3,3,3,3,6,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,4,3,1,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,0,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,5,3
AgentId1.hitsDealt,3,3,0,0,3,3,1,0,1,3,3,2,0,1,3,3,0,0,0,3,1,3,0,0,3,0,1,3,2,3,2,0,3,0,0,0,1,0,3,0,2,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,1,1,5,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,1,0,0,0,1,2,2,3,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,3,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0
AgentId1.damageTaken,2,0,3,3,1,1,3,3,3,0,0,3,3,3,1,0,3,3,3,1,3,1,4,3,2,3,3,2,6,0,3,3,1,3,3,3,3,3,0,3,3,3,3,3,3,3,3,2,3,3,4,5,3,3,3,3,6,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,4,3,1,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,0,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,5,3
AgentId1.damageDealt,3,3,0,0,3,3,1,0,1,3,3,2,0,1,3,3,0,0,0,3,1,3,0,0,3,0,1,3,2,3,2,0,3,0,0,0,1,0,3,0,2,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,1,1,5,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,1,0,0,0,1,2,2,3,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,3,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0
AgentId1.healthAtEnd,1,3,0,0,2,2,0,0,0,3,3,0,0,0,2,3,0,0,0,2,0,2,0,0,1,0,0,1,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AgentId1.rewardAtEnd,0.9995198,2.977541,-8.030195,-8.003433,1.979679,1.992997,-7.008682,-8.003941,-7.002233,2.99355,2.939472,-6.01124,-8.001222,-7.06286,1.99888,2.909806,-8.00536,-8.010733,-8.012817,1.9942,-7.01071,1.99924,-8.017367,-8.0001,0.9279447,-8.012765,-7.05002,0.9745384,-8.017405,2.987829,-6.034731,-8.026659,1.976345,-8.025106,-8.013496,-8.02322,-7.010146,-8.011081,2.98903,-8.020175,-6.013731,-8.048342,-8.006126,-8.024956,-8.057394,-7.030871,-8.052667,0.94698,-8.02289,-8.021666,-7.031816,-8.023787,-8.034513,-8.03754,-8.023418,-8.026535,-8.019881,-7.055861,0.928695,-8.020035,0.9697223,0.9633119,0.961127,-8.046802,-8.025221,-8.037482,-8.030064,-8.0227,-8.022065,-8.03441,-8.025921,-8.046129,-8.028496,-7.010716,1.965233,-8.018822,-8.026941,-8.012218,0.8893112,-8.012723,-7.027996,-8.0354,-8.021854,-8.0362,-7.041826,-8.040889,-6.036283,1.958996,-8.023817,-8.02659,-8.127673,-8.032396,-8.057247,-7.058379,2.99541,-6.014886,-8.031073,-7.031159,-8.077337,-8.016403,-8.033656,-8.021274,-8.035509,-8.049253,-8.049745,-8.021885,1.984687,-6.03941,-8.008892,-8.030564,-8.023348,2.977405,-7.037278,-8.038089,-8.020235,-8.068626,-7.042187,-8.025971,-8.012104,-8.013363,0.9851153,-8.058022,-8.01791,-8.019651,1.966584,-8.019544,-8.024927,-8.019076,-8.01716,-8.067711,-8.037896,0.9595577,-8.059385,-8.022118,-8.026237,-8.03441,-8.043016,-8.023806,-8.024254,0.976162,-8.036346,-8.035257

AgentId2.hitsTaken,3,3,0,0,3,3,1,0,1,3,3,2,0,1,3,3,0,0,0,3,1,3,0,0,3,0,1,3,2,3,2,0,3,0,0,0,1,0,3,0,2,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,1,1,5,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,1,0,0,0,1,2,2,3,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,3,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0
AgentId2.hitsDealt,2,0,3,3,1,1,3,3,3,0,0,3,3,3,1,0,3,3,3,1,3,1,4,3,2,3,3,2,6,0,3,3,1,3,3,3,3,3,0,3,3,3,3,3,3,3,3,2,3,3,4,5,3,3,3,3,6,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,3,3,3,4,3,1,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,0,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,5,3
AgentId2.damageTaken,3,3,0,0,3,3,1,0,1,3,3,2,0,1,3,3,0,0,0,3,1,3,0,0,3,0,1,3,2,3,2,0,3,0,0,0,1,0,3,0,2,0,0,0,0,1,0,3,0,0,1,2,0,0,0,0,1,1,5,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,1,0,0,0,1,2,2,3,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,3,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0
